"Last Modified","Container Type","Container Description","Track Description","Ignore For Recommendations",Country,"Container Reference","Track Reference","Feature Name","First Event Timestamp","Last End Reason Tyoe","Last Event End Timestamp","Last Event Received Timestamp","Last Event Start Timestamp","Max Event End Position in millis","Max Play Duration in millis","Media duration in millis","Media type","Min Event Start Position in millis","Total plays","Total skips","Total play duration in millis"
2024-09-09T12:25:24.183Z,N/A,N/A,"RM - No.2 (with 박지윤)",false,France,N/A,1654548659,"library / songs",2024-09-09T12:25:24.183Z,NATURAL_END_OF_TRACK,2024-09-09T12:28:38.146Z,2024-09-09T12:32:33.268Z,2024-09-09T12:25:24.377Z,193963,193963,193963,AUDIO,0,2,0,193963
2024-09-09T12:15:05.439Z,N/A,N/A,"RM - Groin",false,France,N/A,1742630127,"library / songs",2024-09-09T12:15:05.439Z,PLAYBACK_MANUALLY_PAUSED,2024-09-09T12:15:07.698Z,2024-09-09T12:32:33.268Z,2024-09-09T12:22:15.250Z,2259,2259,190880,AUDIO,0,3,0,2259
2024-09-09T05:58:27.122Z,N/A,N/A,"SUPER JUNIOR-D&E - To you, Tomorrow",false,France,N/A,1529573311,"library / songs",2024-09-09T05:58:27.122Z,NATURAL_END_OF_TRACK,2024-09-09T12:15:05.760Z,2024-09-09T12:32:33.268Z,2024-09-09T12:11:03.736Z,244360,242024,244360,AUDIO,0,1,0,244360
2024-09-09T05:54:25.218Z,N/A,N/A,"NCT DREAM - Teddy Bear",false,France,N/A,1626816791,"library / songs",2024-09-09T05:54:25.218Z,NATURAL_END_OF_TRACK,2024-09-09T05:58:27.258Z,2024-09-09T05:58:27.343Z,2024-09-09T05:54:25.218Z,242040,242040,242040,AUDIO,0,1,0,242040
2024-09-09T05:52:18.269Z,N/A,N/A,"RM - out of love",false,France,N/A,1742629775,"library / songs",2024-09-09T05:52:18.269Z,NATURAL_END_OF_TRACK,2024-09-09T05:54:25.469Z,2024-09-09T05:54:25.549Z,2024-09-09T05:52:18.269Z,127200,127200,127200,AUDIO,0,1,0,127200
2024-09-09T05:49:16.273Z,N/A,N/A,"TWICE - DIVE",false,France,N/A,1754339024,"library / songs",2024-09-09T05:49:16.273Z,NATURAL_END_OF_TRACK,2024-09-09T05:52:18.177Z,2024-09-09T05:52:18.338Z,2024-09-09T05:49:16.273Z,181904,181904,181904,AUDIO,0,1,0,181904
2024-09-09T05:46:05.730Z,N/A,N/A,"STAYC - 247",false,France,N/A,1609910844,"library / songs",2024-09-09T05:46:05.730Z,NATURAL_END_OF_TRACK,2024-09-09T05:49:16.391Z,2024-09-09T05:49:16.452Z,2024-09-09T05:46:05.730Z,190661,190661,190661,AUDIO,0,1,0,190661
2024-09-09T05:42:29.520Z,N/A,N/A,"Red Velvet - Jumpin’",false,France,N/A,1476513530,"library / songs",2024-09-09T05:42:29.520Z,NATURAL_END_OF_TRACK,2024-09-09T05:46:05.340Z,2024-09-09T05:46:05.645Z,2024-09-09T05:42:29.520Z,215820,215820,215820,AUDIO,0,1,0,215820
2024-09-08T15:01:24.450Z,N/A,N/A,"NCT 127 - Be There For Me",false,France,N/A,1719013258,"library / songs",2024-09-08T15:01:24.450Z,NATURAL_END_OF_TRACK,2024-09-09T05:42:29.519Z,2024-09-09T05:42:29.613Z,2024-09-09T05:40:34.666Z,217933,114853,217933,AUDIO,0,1,0,217935
2024-09-08T14:58:10.798Z,N/A,N/A,"Red Velvet - Parade",false,France,N/A,1468949021,"library / songs",2024-09-08T14:58:10.798Z,NATURAL_END_OF_TRACK,2024-09-08T15:01:24.179Z,2024-09-08T15:01:24.298Z,2024-09-08T14:58:10.798Z,193381,193381,193381,AUDIO,0,1,0,193381
2024-09-08T14:54:56.021Z,N/A,N/A,"RM - Nuts",false,France,N/A,1742629771,"library / songs",2024-09-08T14:54:56.021Z,NATURAL_END_OF_TRACK,2024-09-08T14:58:10.687Z,2024-09-08T14:58:10.765Z,2024-09-08T14:54:56.021Z,194666,194666,194666,AUDIO,0,1,0,194666
2024-09-08T14:51:02.444Z,N/A,N/A,"RM - Yun (with Erykah Badu)",false,France,N/A,1654548360,"library / songs",2024-09-08T14:51:02.444Z,NATURAL_END_OF_TRACK,2024-09-08T14:54:56.132Z,2024-09-08T14:54:56.187Z,2024-09-08T14:51:02.444Z,233688,233688,233688,AUDIO,0,1,0,233688
2024-09-08T14:47:40.266Z,N/A,N/A,"Jung Kook & Jack Harlow - 3D",false,France,N/A,1709554773,"library / songs",2024-09-08T14:47:40.266Z,NATURAL_END_OF_TRACK,2024-09-08T14:51:02.142Z,2024-09-08T14:51:02.234Z,2024-09-08T14:47:40.266Z,201876,201876,201876,AUDIO,0,1,0,201876
2024-09-08T14:44:31.820Z,N/A,N/A,"THE BOYZ - Forever you",false,France,N/A,1754071703,"library / songs",2024-09-08T14:44:31.820Z,NATURAL_END_OF_TRACK,2024-09-08T14:47:39.900Z,2024-09-08T14:47:40.039Z,2024-09-08T14:44:31.820Z,188080,188080,188080,AUDIO,0,1,0,188080
2024-09-08T14:40:31.926Z,N/A,N/A,"EVERGLOW - Back Together",false,France,N/A,1597707847,"library / songs",2024-09-08T14:40:31.926Z,NATURAL_END_OF_TRACK,2024-09-08T14:44:31.846Z,2024-09-08T14:44:31.915Z,2024-09-08T14:40:31.926Z,239920,239920,239920,AUDIO,0,1,0,239920
2024-09-08T14:37:04.317Z,N/A,N/A,"EXO - Just as usual",false,France,N/A,1570253452,"library / songs",2024-09-08T14:37:04.317Z,NATURAL_END_OF_TRACK,2024-09-08T14:40:31.650Z,2024-09-08T14:40:31.721Z,2024-09-08T14:37:04.317Z,207333,207333,207333,AUDIO,0,1,0,207333
2024-09-08T14:33:31.211Z,N/A,N/A,"Juju B. Goode - Blueprint",false,France,N/A,1716506222,"library / songs",2024-09-08T14:33:31.211Z,NATURAL_END_OF_TRACK,2024-09-08T14:37:03.980Z,2024-09-08T14:37:04.062Z,2024-09-08T14:33:31.211Z,212769,212769,212769,AUDIO,0,1,0,212769
2024-09-08T14:30:12.336Z,N/A,N/A,"EVERGLOW - ZOMBIE",false,France,N/A,1747695773,"library / songs",2024-09-08T14:30:12.336Z,NATURAL_END_OF_TRACK,2024-09-08T14:33:31.189Z,2024-09-08T14:33:31.252Z,2024-09-08T14:30:12.336Z,198853,198853,198853,AUDIO,0,1,0,198853
2024-09-07T17:24:27.930Z,N/A,N/A,"NCT DREAM - Tangerine Love (Favorite)",false,France,N/A,1658222137,"library / songs",2024-09-07T17:24:27.930Z,NATURAL_END_OF_TRACK,2024-09-08T14:30:12.396Z,2024-09-08T14:30:12.482Z,2024-09-08T14:28:44.155Z,178680,90439,178680,AUDIO,0,1,0,178680
2024-09-07T17:22:01.210Z,N/A,N/A,"iKON - All the World",false,France,N/A,1497659127,"library / songs",2024-09-07T17:22:01.210Z,NATURAL_END_OF_TRACK,2024-09-07T17:25:21.975Z,2024-09-07T17:25:22.045Z,2024-09-07T17:22:01.210Z,200765,200765,200765,AUDIO,0,1,0,200765
2024-09-07T17:17:37.506Z,N/A,N/A,"TOMORROW X TOGETHER - We Lost The Summer",false,France,N/A,1533455296,"library / songs",2024-09-07T17:17:37.506Z,NATURAL_END_OF_TRACK,2024-09-07T17:21:08.055Z,2024-09-07T17:22:12.268Z,2024-09-07T17:17:37.506Z,210549,210549,210549,AUDIO,0,1,0,210549
2024-09-07T17:16:17.374Z,N/A,N/A,"STAYC - I’LL BE THERE",false,France,N/A,1583902629,"library / songs",2024-09-07T17:16:17.374Z,NATURAL_END_OF_TRACK,2024-09-07T17:19:26.898Z,2024-09-07T17:22:10.208Z,2024-09-07T17:16:17.374Z,189524,189524,189524,AUDIO,0,1,0,189524
